id,rating,proximity,latitude,longitude
113571,3.0,11.426927,37.78835,-122.41582
120750,3.0,11.43125,37.78807,-122.41809
276374,3.0,11.433334,37.46533,-122.42895
447745,4.0,11.4450865,37.7873,-122.42394
121924,3.0,11.452006,37.78715,-122.42533
134326,3.5,11.455955,37.7899,-122.40705
115131,3.0,11.457624,37.787,-122.4266
145235,3.0,11.472513,37.78653,-122.43012
115718,3.0,11.474408,37.79034,-122.40549
230158,3.0,11.4894285,37.79015,-122.40915
192358,3.5,11.490743,37.79025,-122.40847
208040,3.5,11.4911,37.78993,-122.41115
208041,3.0,11.491932,37.7899,-122.41145
129367,3.0,11.492964,37.79033,-122.40806
245715,3.5,11.493492,37.46483,-122.4309
248276,3.5,11.495538,37.79068,-122.40519
125381,3.5,11.549407,37.79249,-122.39215
124533,5.0,11.582636,37.79171,-122.40744
108742,5.0,11.595472,37.79254,-122.40093
107232,3.0,11.5968275,37.78986,-122.42215
106236,4.0,11.608105,37.79169,-122.41077
121756,4.0,11.613003,37.79159,-122.41212
436435,4.0,11.618415,37.79197,-122.40972
194583,4.5,11.633146,37.79293,-122.40271
115783,5.0,11.649955,37.79229,-122.41088
106067,4.0,11.652456,37.79372,-122.39644
268026,3.0,11.70307,37.78614,-122.44657
110021,4.0,11.742043,37.79473,-122.40027
210688,3.5,11.761681,37.79497,-122.40081
170439,3.0,11.780968,37.78727,-122.4468
107229,4.0,11.79128,37.79503,-122.40486
480901,3.5,11.807368,37.79421,-122.4139
112924,3.5,11.972709,37.72818,-122.20114
270622,3.0,12.040435,37.72922,-122.20057
120016,3.0,12.093451,37.79907,-122.4084
112123,3.0,12.132821,37.73047,-122.19963
311779,3.0,12.247019,37.80121,-122.40934
111824,3.5,12.266978,37.79945,-122.42409
193472,3.0,12.416685,37.73498,-122.19742
487696,3.0,12.4494,37.80205,-122.42467
169941,3.5,12.596726,37.80539,-122.41693
106346,3.5,12.619995,37.80561,-122.41781
191678,3.0,12.648818,37.80625,-122.41621
163750,4.0,12.64973,37.80654,-122.41406
124489,4.0,12.652506,37.80628,-122.41641
107231,3.5,12.654567,37.80603,-122.41844
263431,5.0,12.655481,37.80551,-122.42206
105656,4.0,12.670695,37.80688,-122.4138
111409,3.0,12.716211,37.80764,-122.41305
109249,3.0,12.7162485,37.80693,-122.41849
211817,4.0,12.783516,37.80766,-122.42031
124525,3.5,12.88729,37.79497,-122.27864
208857,3.0,13.048613,37.7966,-122.27607
198433,3.0,13.158587,37.78853,-122.2528
128197,3.0,13.209942,37.78592,-122.24579
230618,3.0,13.400402,37.80113,-122.27311
122441,3.0,13.431252,37.8019,-122.27386
126459,3.5,13.461892,37.80198,-122.27275
110029,3.0,13.561523,37.43339,-122.42695
487400,4.0,13.649563,37.45547,-122.25165
194200,5.0,13.718285,37.43357,-122.44061
207919,3.0,14.047287,37.68622,-122.13257
482245,4.0,14.344669,37.47311,-122.20051
490795,3.0,15.093203,37.83845,-122.315
191982,3.0,15.16807,37.83479,-122.29307
107240,3.0,15.283148,37.83777,-122.29814
204519,3.0,15.3661585,37.45862,-122.19299
138850,3.0,15.4089365,37.83862,-122.29376
220110,3.0,15.458916,37.83929,-122.29341
265998,4.5,15.614747,37.83724,-122.47854
475962,4.0,15.692281,37.47386,-122.16507
204037,3.0,15.754687,37.45543,-122.18685
115339,4.0,16.655575,37.44782,-122.17298
308710,5.0,16.738014,37.42113,-122.21455
265030,3.0,16.76542,37.85458,-122.47988
194076,3.5,16.94293,37.85709,-122.48065
178040,3.5,17.172054,37.86897,-122.3133
161581,4.0,17.172346,37.4481,-122.1589
429638,4.0,17.28909,37.44369,-122.16162
235902,5.0,17.358591,37.45901,-122.14109
142997,3.5,17.36226,37.4407,-122.16372
173182,4.0,17.393024,37.44033,-122.1634
171013,3.0,17.430761,37.85997,-122.25923
191289,3.5,17.637323,37.87338,-122.45611
116817,4.0,17.645475,37.85747,-122.24195
119007,3.5,17.683882,37.59697,-122.05687
140889,3.5,17.713217,37.87433,-122.45703
162762,4.0,17.856709,37.8693,-122.26844
151515,3.5,18.012068,37.86814,-122.25641
173173,4.0,18.302465,37.53663,-122.06326
205347,3.0,18.570578,37.54864,-122.05309
509194,3.0,18.573198,37.42713,-122.14974
204580,3.0,18.60169,37.54992,-122.05202
151563,3.0,19.246342,37.88088,-122.51933
143933,3.5,19.531467,37.4192,-122.13484
475874,3.0,20.479904,37.40951,-122.12262
126318,3.5,20.685047,37.40705,-122.12047
135847,3.5,20.709738,37.40661,-122.12041
486334,3.0,20.774448,37.40634,-122.11904
206038,3.0,20.850016,37.40503,-122.1188
140102,3.5,21.476225,37.90546,-122.54948
112834,3.0,21.542048,37.53237,-122.00274
220071,3.0,21.558182,37.52408,-122.00591
208843,3.0,21.617796,37.5327,-122.00116
164949,3.0,21.714006,37.52286,-122.00344
176691,3.0,22.31281,37.92893,-122.51864
112832,3.0,22.34977,37.39254,-122.09571
112885,3.5,22.39082,37.52134,-121.99105
482275,3.5,22.62873,37.39314,-122.08766
138197,3.0,23.35484,37.94774,-122.50803
475959,4.0,23.435509,37.39976,-122.05946
475960,4.0,23.87134,37.39163,-122.05807
136682,3.0,24.038733,37.3789,-122.06932
111379,4.0,24.039066,37.8966,-122.10117
204158,3.0,24.258032,37.77765,-121.97741
138169,3.0,24.279547,37.75772,-121.96594
161579,3.0,24.457945,37.37616,-122.06198
482656,4.0,24.475283,37.38293,-122.05327
115780,3.0,24.505363,37.37586,-122.06114
118301,3.5,24.516949,37.76371,-121.96434
120788,3.0,24.537914,37.97821,-122.32309
107770,3.5,24.618242,37.69591,-121.93639
121760,3.0,24.643713,37.40031,-122.02994
153457,3.0,24.662025,37.69495,-121.93534
105713,3.5,24.683098,37.40397,-122.0253
